"reactome_stId_number.raw: Descending",Count
168256,"156,753"
162582,"118,728"
1430728,"110,099"
1640170,"93,796"
1280215,"78,233"
1643685,"75,995"
74160,"75,390"
168249,"69,757"
1474244,"67,349"
392499,"64,980"
8953897,"60,007"
1266738,"58,442"
449147,"55,006"
9006934,"54,661"
109582,"53,287"
1280218,"52,491"
69278,"48,735"
1500931,"47,799"
73894,"45,435"
556833,"45,167"
69620,"44,222"
4839726,"43,462"
212436,"42,300"
73857,"39,939"
5663202,"39,772"
6798695,"39,365"
913531,"39,191"
8953854,"38,483"
382551,"35,347"
372790,"33,818"
400253,"32,916"
112316,"32,819"
5357801,"32,052"
909733,"30,331"
71387,"29,708"
983169,"29,255"
388396,"29,175"
5653656,"29,085"
2262752,"28,777"
877300,"28,612"
69306,"28,256"
1257604,"27,819"
6783783,"27,115"
422475,"26,875"
109581,"26,161"
597592,"26,079"
450294,"26,077"
1428517,"25,949"
5673001,"25,851"
70326,"25,340"
1852241,"25,196"
195721,"25,076"
168898,"24,820"
8963743,"24,728"
397014,"24,036"
373076,"23,890"
189001,"23,717"
6785807,"23,213"
71291,"22,111"
453279,"21,509"
199991,"20,876"
9006925,"20,868"
500792,"20,272"
198933,"20,196"
5663205,"20,154"
5683057,"20,111"
76002,"20,059"
1474228,"19,920"
400206,"19,915"
194315,"19,886"
446728,"19,195"
72203,"19,116"
76005,"18,858"
1236977,"18,417"
2219528,"18,301"
9006936,"18,264"
381426,"18,239"
1226099,"18,218"
983170,"18,150"
1500620,"18,054"
109606,"17,994"
157118,"17,971"
3700989,"17,740"
1474290,"17,563"
194138,"17,530"
163685,"17,440"
112315,"17,341"
202403,"17,187"
211859,"17,187"
114608,"16,845"
166658,"16,809"
2559583,"16,735"
388841,"16,642"
216083,"16,504"
8978868,"16,464"
418594,"16,417"
177929,"16,318"
72766,"16,042"
3371556,"15,925"
211945,"15,825"
5205647,"15,811"
201681,"15,740"
5619115,"15,726"
381119,"15,675"
163200,"15,381"
453274,"15,257"
187037,"15,235"
5668914,"15,193"
68886,"15,094"
199418,"15,061"
1236974,"14,992"
73886,"14,980"
72613,"14,979"
3000178,"14,835"
165159,"14,519"
2022090,"14,458"
112314,"14,405"
446652,"14,380"
75153,"14,259"
202733,"14,247"
5693532,"14,089"
196854,"14,063"
69239,"14,054"
186797,"14,043"
1442490,"14,003"
2132295,"13,944"
1236975,"13,860"
170834,"13,809"
5684996,"13,784"
446203,"13,700"
975634,"13,671"
168643,"13,351"
8957322,"13,332"
6811558,"13,288"
8863678,"13,282"
425407,"13,137"
3781865,"13,061"
383280,"13,011"
6805567,"12,952"
5668541,"12,921"
1474165,"12,917"
376176,"12,895"
447115,"12,841"
156827,"12,798"
3000157,"12,714"
72689,"12,713"
381340,"12,700"
983705,"12,654"
2219530,"12,586"
1650814,"12,542"
418555,"12,504"
15869,"12,480"
166520,"12,459"
2173793,"12,427"
975956,"12,362"
2426168,"12,232"
8957275,"12,211"
3000171,"12,145"
68874,"12,044"
156580,"11,939"
69242,"11,901"
373760,"11,888"
195258,"11,864"
