reactome_stId_number.raw: Descending,Count
168256,"245,659"
199420,"194,130"
162582,"187,617"
1430728,"151,917"
1640170,"129,221"
1280215,"118,153"
74160,"109,595"
168249,"105,312"
392499,"96,758"
1643685,"93,402"
1474244,"87,357"
449147,"83,388"
1280218,"79,564"
9006934,"77,855"
1266738,"77,678"
8953897,"76,835"
6798695,"71,789"
109582,"70,895"
212436,"70,810"
69278,"67,994"
913531,"65,263"
73857,"64,158"
73894,"63,668"
1500931,"62,599"
556833,"62,165"
388396,"61,940"
69620,"59,880"
5653656,"58,937"
5673001,"58,632"
8953854,"55,657"
4839726,"53,938"
372790,"52,497"
109581,"51,476"
6785807,"50,432"
71387,"46,712"
5663202,"46,522"
112316,"46,521"
382551,"46,457"
211859,"46,034"
1257604,"46,023"
5357801,"45,510"
983169,"44,677"
877300,"44,485"
70326,"43,915"
597592,"43,108"
909733,"42,939"
2262752,"41,983"
422475,"40,607"
400253,"40,351"
9006936,"39,592"
6783783,"39,105"
195721,"38,324"
69306,"38,033"
373076,"37,907"
198933,"36,208"
450294,"35,848"
9612973,"35,535"
1428517,"35,366"
168898,"35,085"
76002,"34,493"
453279,"34,368"
71291,"32,809"
381426,"32,356"
72203,"32,318"
397014,"32,042"
1474228,"31,975"
194315,"31,959"
199991,"31,588"
1852241,"30,971"
76005,"30,781"
8963743,"30,241"
500792,"29,739"
5683057,"29,654"
9006925,"29,259"
202403,"27,792"
112315,"27,508"
9609507,"27,182"
177929,"27,119"
418594,"26,841"
166658,"26,678"
163685,"26,635"
216083,"26,266"
109606,"26,080"
2559583,"26,059"
114608,"25,814"
201681,"25,805"
194138,"25,744"
72766,"25,739"
400206,"25,649"
5663205,"25,473"
1474290,"25,281"
446728,"25,143"
3700989,"25,051"
2408522,"24,756"
157118,"24,631"
72613,"24,620"
381119,"24,338"
68886,"24,321"
388841,"24,166"
211945,"23,925"
156842,"23,335"
1236977,"22,841"
453274,"22,824"
2219528,"22,817"
170834,"22,604"
983170,"22,574"
1632852,"22,425"
3371556,"22,348"
163200,"22,273"
425407,"22,219"
8868773,"22,210"
72689,"22,182"
5693532,"22,037"
9006931,"21,873"
2022090,"21,786"
975956,"21,784"
195258,"21,765"
72163,"21,713"
446652,"21,620"
3000178,"21,368"
1442490,"21,314"
196854,"21,279"
5684996,"21,224"
156827,"21,017"
376176,"20,868"
75153,"20,828"
1236974,"20,695"
2132295,"20,687"
8978868,"20,519"
187037,"20,460"
8957322,"20,371"
1500620,"20,333"
202733,"20,244"
1799339,"20,216"
418555,"20,212"
1630316,"20,144"
73886,"20,110"
8957275,"20,056"
1226099,"19,970"
446203,"19,828"
156902,"19,639"
983705,"19,565"
8878171,"19,516"
186797,"19,381"
168643,"19,320"
2559582,"19,206"
165159,"19,136"
1236975,"18,802"
447115,"18,756"
70171,"18,676"
199418,"18,656"
5619115,"18,443"
8939211,"18,366"
69239,"18,278"
5668541,"18,244"
927802,"18,160"
156580,"18,127"
72706,"18,085"
6805567,"18,051"
2173793,"17,935"
975634,"17,928"
373760,"17,868"
73887,"17,815"
72172,"17,725"
199977,"17,426"
5688426,"17,303"
1650814,"17,253"
3858494,"17,209"
2426168,"17,084"
168255,"17,041"
3000157,"16,977"
416476,"16,862"
72737,"16,776"
68877,"16,686"
5668914,"16,643"
1834949,"16,598"
1483206,"16,555"
5693567,"16,521"
72764,"16,399"
1227986,"16,356"
5576891,"16,338"
69242,"16,244"
1474165,"16,189"
74752,"16,155"
3000171,"16,121"
174824,"16,098"
8878159,"16,052"
380108,"16,048"
5693606,"16,000"
5621481,"15,988"
15869,"15,924"
5693538,"15,912"
8950505,"15,852"
383280,"15,851"
196849,"15,847"
381340,"15,839"
2219530,"15,782"
6791226,"15,761"
3247509,"15,690"
3299685,"15,669"
212165,"15,491"
2029480,"15,440"
8863678,"15,362"
196071,"15,317"
1483249,"15,255"
5358351,"15,237"
3781865,"15,201"
3371568,"15,199"
168928,"15,188"
1655829,"15,017"
1566948,"14,935"
6783589,"14,827"
8948216,"14,779"
975957,"14,766"
983231,"14,604"
1234174,"14,570"
453276,"14,547"
6811558,"14,519"
2454202,"14,509"
69481,"14,492"
112314,"14,490"
166520,"14,467"
8864260,"14,427"
201451,"14,370"
